,theta,sal,depth,nitrate,lon,lat,date,year,month,day,profile,cruise,vessel,density
51,  27.3432,  34.4363,11,     0.04,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,22.0741951924
52,  27.1192,  34.4442,27,     0.02,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,22.1515841162
53,  25.7149,  34.5497,51,     0.00,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,22.6696685695
54,  23.3158,  34.7372,76,     1.62,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,23.5263753719
55,  21.9380,  34.7665,101,  -999.00,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,23.9400632176
56,  20.9896,  34.7356,126,     0.91,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,24.1777230949
57,  19.7549,  34.7254,150,     1.69,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,24.4983061322
58,  18.5186,  34.7231,200,     3.50,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,24.8122780481
59,  17.6965,  34.7102,251,     5.93,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,25.0051560059
60,  16.8168,  34.6866,301,     7.36,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,25.1974969901
61,  14.6042,  34.5625,400,    11.44,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,25.6006754443
62,  11.0508,  34.3482,500,    18.79,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,26.1374674703
63,   7.8156,  34.1526,601,    25.26,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,26.5123031297
64,   5.4283,  34.0528,700,    32.52,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,26.7494727785
65,   4.7606,  34.1438,801,    36.63,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,26.8977355595
66,   4.2642,  34.2499,901,    38.87,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,27.035173454
67,   3.7784,  34.3027,1001,    40.26,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,27.1267674084
68,   3.7784,  34.3027,1001,    40.29,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,27.1267674084
69,   3.1137,  34.3935,1201,    41.83,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,27.2624504185
70,   3.1137,  34.3935,1201,    41.84,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,27.2624504185
71,   2.6132,  34.4660,1401,    42.37,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,27.3645706189
72,   2.3093,  34.5151,1600,    42.13,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,27.4292092212
73,   2.0778,  34.5542,1799,    41.73,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,27.4790851084
74,   1.8955,  34.5851,1999,    41.04,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,27.5180118873
75,  27.3477,  34.3708,0,     0.04,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,22.0245506061
76,  27.3482,  34.3707,10,     0.00,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,22.0243168825
77,  27.3487,  34.3704,26,     0.00,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,22.0239359742
78,  26.7036,  34.4891,50,     0.00,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,22.3164849751
79,  24.4738,  34.5251,75,     0.02,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,23.028096861
80,  21.4300,  34.6270,100,     0.85,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,23.9763913312
81,  20.0587,  34.6676,124,     4.97,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,24.3753633235
82,  18.7687,  34.6666,150,     6.29,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,24.7069198106
83,  16.3076,  34.6057,201,     9.46,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,25.2546314194
84,  14.0500,  34.5175,251,    13.25,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,25.6837626644
85,  12.4297,  34.4155,300,    16.07,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,25.931967234
86,   8.4784,  34.0865,402,    21.10,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,26.3621412743
87,   6.8177,  34.0939,502,    27.86,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,26.6060379509
88,   5.3681,  34.0659,602,    32.89,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,26.7668880794
89,   4.8740,  34.1290,703,    35.67,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,26.8734121746
90,   4.3118,  34.2360,804,    38.54,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,27.0191651516
91,   3.7438,  34.3133,903,    40.09,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,27.1386008956
92,   3.3832,  34.3540,1002,    41.02,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,27.2059136318
93,   2.8172,  34.4390,1202,    42.32,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,27.3253191725
94,   2.4335,  34.4884,1401,    42.18,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,27.3976455616
95,   2.4335,  34.4884,1401,    42.22,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,27.3976455616
96,   2.1963,  34.5337,1591,    41.76,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,27.4532455122
97,   2.1963,  34.5337,1591,    41.89,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,27.4532455122
98,   1.9802,  34.5728,1800,    41.25,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,27.5016121344
99,   1.8205,  34.5961,2001,    40.55,143.016333333,32.0386666667, 2010/10/04,2010.0,10.0,4.0,4.0, 10-07, R/V Keifu Maru,27.5325494852
100,  26.0536,  34.6619,0,     0.05,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,22.6476650305
101,  26.0506,  34.6620,12,     0.03,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,22.6486720598
102,  25.8633,  34.6564,26,     0.00,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,22.7026613838
103,  24.2817,  34.6567,53,     0.00,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,23.182940479
104,  21.4493,  34.7228,78,     0.46,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,24.0427018751
105,  19.7584,  34.7098,102,     0.81,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,24.4856781441
106,  18.8524,  34.7109,127,     1.96,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,24.7191454014
107,  18.5308,  34.7055,152,     2.73,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,24.795962788
108,  17.9497,  34.6867,203,     3.31,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,24.925645197
109,  17.5244,  34.6813,250,     3.95,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,25.0249761069
110,  17.1805,  34.6831,302,     4.97,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,25.1087885079
111,  15.6493,  34.6237,403,     9.36,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,25.4179251674
112,  12.9461,  34.4473,502,    14.30,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,25.8551444895
113,  10.0178,  34.2298,604,    19.06,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,26.2260205879
114,   6.8060,  34.0658,703,    27.46,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,26.5856207674
115,   5.2499,  34.0672,803,    34.03,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,26.7817572127
116,   4.5336,  34.1537,903,    37.77,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,26.9304385041
117,   4.0232,  34.2353,1002,    40.01,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,27.0487001046
118,   3.1913,  34.3689,1205,    41.76,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,27.235767991
119,   2.7106,  34.4514,1405,    41.95,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,27.3445326824
120,   2.3418,  34.5070,1603,    42.11,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,27.420080898
121,   2.0887,  34.5538,1803,    41.83,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,27.4778980389
122,   2.0887,  34.5538,1803,    41.74,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,27.4778980389
123,   1.8819,  34.5880,2002,    40.86,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,27.5213744157
124,   1.8819,  34.5880,2002,    40.91,144.012833333,31.0261666667, 2010/10/05,2010.0,10.0,5.0,5.0, 10-07, R/V Keifu Maru,27.5213744157
125,  25.8851,  34.5052,0,     0.04,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,22.5842168959
126,  25.8893,  34.5031,13,     0.02,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,22.5813657117
127,  25.8515,  34.5408,28,     0.02,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,22.6209115624
128,  25.4814,  34.7847,52,     0.00,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,22.915224081
129,  22.4382,  34.7732,76,     0.02,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,23.804553547
130,  19.7337,  34.7633,102,     0.01,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,24.5322950159
131,  18.9897,  34.7262,127,     0.11,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,24.6958565908
132,  18.4433,  34.6999,153,     1.04,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,24.8135931459
133,  17.6356,  34.6883,203,     3.96,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,25.0033815726
134,  17.1949,  34.6839,253,     4.81,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,25.1059622892
135,  16.4566,  34.6622,303,     7.95,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,25.2630639831
136,  13.9197,  34.5110,403,    12.24,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,25.7059790233
137,  10.7395,  34.2855,502,    17.86,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,26.1445002817
138,   7.3945,  34.0679,603,    25.23,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,26.5064318149
139,   7.3945,  34.0679,603,    25.25,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,26.5064318149
140,   5.5904,  34.0412,703,    32.05,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,26.7209996729
141,   5.5904,  34.0412,703,    32.01,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,26.7209996729
142,   4.6710,  34.1245,803,    36.82,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,26.8924140469
143,   4.1135,  34.2209,901,    39.67,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,27.0280138056
144,   3.6305,  34.3067,1003,    41.33,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,27.1445625635
145,   2.9965,  34.4085,1204,    41.97,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,27.2850517926
146,   2.5430,  34.4845,1399,    42.33,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,27.3852859575
147,   2.2211,  34.5344,1602,    41.69,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,27.4517888158
148,   1.9967,  34.5741,1802,    40.88,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,27.5013516553
149,   1.8054,  34.6058,2002,    39.55,145.090833333,29.9851666667, 2010/10/05,2010.0,10.0,5.0,6.0, 10-07, R/V Keifu Maru,27.5414351254
150,  27.1479,  34.5353,0,     0.00,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,22.209512477
151,  27.1467,  34.5353,12,     0.00,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,22.2098953682
152,  27.0395,  34.5746,27,     0.00,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,22.2730024182
153,  25.4103,  34.6040,52,     0.00,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,22.8033753371
154,  20.7696,  34.7218,76,     0.02,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,24.2268081554
155,  19.4295,  34.7148,101,     1.01,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,24.5746998778
156,  18.8266,  34.7058,126,     1.83,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,24.7218270876
157,  18.2197,  34.6964,152,     3.21,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,24.8664892639
158,  17.7182,  34.7038,201,     4.49,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,24.995049446
159,  17.1481,  34.7013,251,     5.87,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,25.1302742303
160,  16.1485,  34.6579,302,     7.88,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,25.3307664608
161,  13.0548,  34.4573,402,    14.09,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,25.8411681586
162,  10.0853,  34.2511,502,    19.63,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,26.231079253
163,   7.0320,  34.0675,603,    26.70,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,26.5563614557
164,   5.3657,  34.0432,702,    33.22,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,26.7493162262
165,   4.5645,  34.1366,802,    37.84,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,26.9135951996
166,   4.5645,  34.1366,802,    37.78,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,26.9135951996
167,   3.9643,  34.2400,901,    40.28,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,27.0584346334
168,   3.9643,  34.2400,901,    40.35,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,27.0584346334
169,   3.5692,  34.3059,1002,    41.41,145.9885,28.9908333333, 2010/10/05,2010.0,10.0,5.0,7.0, 10-07, R/V Keifu Maru,27.1499156392
